dispute_id,reason_code,amount,hours_remaining_at_creation,evidence_type,extracted_order_id,extracted_customer_name,extracted_date,extracted_address,true_order_id,true_customer_name,true_date,true_address,evidence_is_valid_label,tamper_flag_label,dispute_outcome_won_label,true_win_probability_declared_synthetic_only,evidence_completeness_at_submission,evidence_validity_rate_at_submission
disp_6f3f74d7ed4044,subscription_cancelled,44320.04,70.0,term_and_conditions,ORD126225,Arjun Reddy,2026-08-14,"229 Main Rd, Bengaluru",ORD126225,Arjun Reddy,2026-08-14,"229 Main Rd, Bengaluru",False,True,True,0.7394,1.0,0.667
disp_6f3f74d7ed4044,subscription_cancelled,44320.04,70.0,cancellation_proof,ORD126225,Arjun Reddy,2026-08-14,"229 Main Rd, Bengaluru",ORD126225,Arjun Reddy,2026-08-14,"229 Main Rd, Bengaluru",True,False,True,0.7394,1.0,0.667
disp_6f3f74d7ed4044,subscription_cancelled,44320.04,70.0,access_activity_log,ORD126225,Arjun Reddy,2026-08-14,"229 Main Rd, Bengaluru",ORD126225,Arjun Reddy,2026-08-14,"229 Main Rd, Bengaluru",True,False,True,0.7394,1.0,0.667
disp_6f3f74d7ed4044,subscription_cancelled,44320.04,70.0,billing_proof,ORD126225,Arjun Reddy,2026-08-14,"229 Main Rd, Bengaluru",ORD126225,Arjun Reddy,2026-08-14,"229 Main Rd, Bengaluru",True,False,True,0.7394,1.0,0.667
disp_f934f369f08940,credit_not_processed,20744.91,13.0,refund_confirmation,ORD498382,Rahul Nair,2026-07-30,"715 Main Rd, Delhi",ORD391704,Rahul Nair,2026-07-30,"715 Main Rd, Delhi",False,False,False,0.204,0.5,0.0
disp_3459c4d995964b,unrecognized_transaction,58400.39,25.0,billing_proof,ORD946335,Rahul Krishnan,2026-08-09,"550 Main Rd, Chennai",ORD946335,Rahul Krishnan,2026-08-09,"550 Main Rd, Chennai",True,False,True,0.6318,0.667,1.0
disp_3459c4d995964b,unrecognized_transaction,58400.39,25.0,access_activity_log,ORD946335,Rahul Krishnan,2026-08-09,"550 Main Rd, Chennai",ORD946335,Rahul Krishnan,2026-08-09,"550 Main Rd, Chennai",True,False,True,0.6318,0.667,1.0
disp_dcb45e0a141241,subscription_cancelled,52055.78,27.0,access_activity_log,ORD910620,Arjun Iyer,2026-08-10,"876 Main Rd, Bengaluru",ORD910620,Arjun Iyer,2026-08-10,"876 Main Rd, Bengaluru",True,False,False,0.6357,0.667,1.0
disp_dcb45e0a141241,subscription_cancelled,52055.78,27.0,term_and_conditions,ORD910620,Arjun Iyer,2026-08-10,"876 Main Rd, Bengaluru",ORD910620,Arjun Iyer,2026-08-10,"876 Main Rd, Bengaluru",True,False,False,0.6357,0.667,1.0
disp_604f829010544e,unrecognized_transaction,16561.9,28.0,customer_communication,ORD279451,Sneha Nair,2026-07-28,"474 Main Rd, Delhi",ORD279451,Sneha Nair,2026-07-28,"474 Main Rd, Delhi",True,False,True,0.6838,1.0,0.333
disp_604f829010544e,unrecognized_transaction,16561.9,28.0,billing_proof,ORD944151,Sneha Nair,2026-07-28,"474 Main Rd, Delhi",ORD279451,Sneha Nair,2026-07-28,"474 Main Rd, Delhi",False,False,True,0.6838,1.0,0.333
disp_604f829010544e,unrecognized_transaction,16561.9,28.0,access_activity_log,ORD279451,Sneha Nair,2026-08-06,"474 Main Rd, Delhi",ORD279451,Sneha Nair,2026-07-28,"474 Main Rd, Delhi",False,False,True,0.6838,1.0,0.333
disp_d20f87287f0e4d,goods_services_not_as_described,8808.0,21.0,term_and_conditions,ORD623481,Karthik Krishnan,2026-07-28,"147 Main Rd, Mumbai",ORD623481,Karthik Krishnan,2026-07-28,"147 Main Rd, Mumbai",True,False,False,0.5336,0.75,0.333
disp_d20f87287f0e4d,goods_services_not_as_described,8808.0,21.0,refund_cancellation_policy,ORD623481,Karthik Krishnan,2026-07-28,"94 Cross St, Kochi",ORD623481,Karthik Krishnan,2026-07-28,"147 Main Rd, Mumbai",False,False,False,0.5336,0.75,0.333
disp_d20f87287f0e4d,goods_services_not_as_described,8808.0,21.0,customer_communication,ORD260265,Karthik Krishnan,2026-07-28,"147 Main Rd, Mumbai",ORD623481,Karthik Krishnan,2026-07-28,"147 Main Rd, Mumbai",False,False,False,0.5336,0.75,0.333
disp_f723ad4db62a49,credit_not_processed,51716.39,35.0,refund_confirmation,ORD724834,Meera Menon,2026-08-05,"995 Main Rd, Hyderabad",ORD724834,Meera Menon,2026-08-05,"995 Main Rd, Hyderabad",True,False,True,0.5551,0.5,1.0
disp_308ffac5293a4e,duplicate_processing,52613.25,20.0,billing_proof,ORD265840,Meera Sharma,2026-08-04,"977 Main Rd, Pune",ORD265840,Meera Sharma,2026-08-04,"977 Main Rd, Pune",False,True,True,0.6102,1.0,0.5
disp_308ffac5293a4e,duplicate_processing,52613.25,20.0,access_activity_log,ORD265840,Meera Sharma,2026-08-04,"977 Main Rd, Pune",ORD265840,Meera Sharma,2026-08-04,"977 Main Rd, Pune",True,False,True,0.6102,1.0,0.5
disp_1a54c668e82841,unrecognized_transaction,7156.13,69.0,access_activity_log,ORD656116,Rahul Gupta,2026-07-24,"501 Main Rd, Chennai",ORD656116,Rahul Gupta,2026-07-24,"501 Main Rd, Chennai",True,False,True,0.6028,0.667,0.5
disp_1a54c668e82841,unrecognized_transaction,7156.13,69.0,billing_proof,ORD656116,Rahul Gupta,2026-07-24,"836 Cross St, Chennai",ORD656116,Rahul Gupta,2026-07-24,"501 Main Rd, Chennai",False,False,True,0.6028,0.667,0.5
disp_1a54c668e82841,unrecognized_transaction,7156.13,69.0,term_and_conditions,ORD656116,Rahul Gupta,2026-07-24,"501 Main Rd, Chennai",ORD656116,Rahul Gupta,2026-07-24,"501 Main Rd, Chennai",True,False,True,0.6028,0.667,0.5
disp_4025f6ca75f041,subscription_cancelled,36592.34,40.0,term_and_conditions,ORD676510,Amit Menon,2026-08-02,"541 Main Rd, Kochi",ORD676510,Amit Menon,2026-08-02,"541 Main Rd, Kochi",True,False,True,0.4602,0.333,1.0
disp_785fea77e4d641,credit_not_processed,20616.09,28.0,refund_confirmation,ORD446479,Priya Reddy,2026-08-01,"231 Main Rd, Chennai",ORD573417,Priya Reddy,2026-08-01,"231 Main Rd, Chennai",False,False,False,0.2033,0.5,0.0
disp_785fea77e4d641,credit_not_processed,20616.09,28.0,shipping_proof,ORD573417,Arjun Krishnan,2026-08-01,"231 Main Rd, Chennai",ORD573417,Priya Reddy,2026-08-01,"231 Main Rd, Chennai",False,False,False,0.2033,0.5,0.0
disp_c99f411c7a994e,subscription_cancelled,48546.07,7.0,cancellation_proof,ORD704201,Meera Reddy,2026-07-30,"804 Main Rd, Delhi",ORD704201,Meera Reddy,2026-07-30,"804 Main Rd, Delhi",True,False,True,0.4394,0.333,1.0
disp_c99f411c7a994e,subscription_cancelled,48546.07,7.0,refund_confirmation,ORD704201,Meera Reddy,2026-07-30,"804 Main Rd, Delhi",ORD704201,Meera Reddy,2026-07-30,"804 Main Rd, Delhi",True,False,True,0.4394,0.333,1.0
disp_6c6bda9cada140,credit_not_processed,32409.0,71.0,refund_cancellation_policy,ORD564656,Priya Reddy,2026-07-25,"197 Main Rd, Bengaluru",ORD455784,Priya Reddy,2026-07-25,"197 Main Rd, Bengaluru",False,False,True,0.2751,0.5,0.0
disp_6c6bda9cada140,credit_not_processed,32409.0,71.0,access_activity_log,ORD455784,Priya Reddy,2026-07-25,"197 Main Rd, Bengaluru",ORD455784,Priya Reddy,2026-07-25,"197 Main Rd, Bengaluru",True,False,True,0.2751,0.5,0.0
disp_7ac7473066604e,subscription_cancelled,50997.4,22.0,access_activity_log,ORD976638,Rahul Iyer,2026-07-31,"925 Cross St, Chennai",ORD976638,Rahul Iyer,2026-07-31,"949 Main Rd, Kochi",False,False,False,0.1174,0.333,0.0
disp_f1bf651b5f2848,credit_not_processed,57460.4,70.0,refund_confirmation,ORD922157,Meera Menon,2026-08-09,"434 Main Rd, Pune",ORD922157,Meera Menon,2026-08-09,"434 Main Rd, Pune",True,False,True,0.8051,1.0,1.0
disp_f1bf651b5f2848,credit_not_processed,57460.4,70.0,refund_cancellation_policy,ORD922157,Meera Menon,2026-08-09,"434 Main Rd, Pune",ORD922157,Meera Menon,2026-08-09,"434 Main Rd, Pune",True,False,True,0.8051,1.0,1.0
disp_6e66b5a8227d49,goods_services_not_received,5266.63,31.0,shipping_proof,ORD712554,Meera Nair,2026-08-16,"59 Main Rd, Hyderabad",ORD712554,Meera Nair,2026-08-16,"59 Main Rd, Hyderabad",True,False,True,0.6095,0.333,1.0
disp_8995d1e4d91242,unrecognized_transaction,35228.5,59.0,access_activity_log,ORD707040,Rahul Iyer,2026-08-27,"430 Main Rd, Pune",ORD707040,Rahul Iyer,2026-08-10,"430 Main Rd, Pune",False,False,False,0.447,1.0,0.0
disp_8995d1e4d91242,unrecognized_transaction,35228.5,59.0,customer_communication,ORD707040,Rahul Iyer,2026-08-31,"430 Main Rd, Pune",ORD707040,Rahul Iyer,2026-08-10,"430 Main Rd, Pune",False,False,False,0.447,1.0,0.0
disp_8995d1e4d91242,unrecognized_transaction,35228.5,59.0,billing_proof,ORD109767,Rahul Iyer,2026-08-10,"430 Main Rd, Pune",ORD707040,Rahul Iyer,2026-08-10,"430 Main Rd, Pune",False,False,False,0.447,1.0,0.0
disp_fef5f0d4d2d346,goods_services_not_received,52911.42,70.0,customer_communication,ORD323508,Arjun Nair,2026-07-31,"956 Main Rd, Mumbai",ORD323508,Arjun Nair,2026-07-31,"956 Main Rd, Mumbai",True,False,True,0.4974,0.333,1.0
disp_b4b2923df3034d,goods_services_not_received,16235.72,27.0,term_and_conditions,ORD956795,Arjun Iyer,2026-07-27,"962 Main Rd, Bengaluru",ORD956795,Arjun Iyer,2026-07-27,"962 Main Rd, Bengaluru",False,True,True,0.1768,0.333,0.0
disp_aef3be9dd63d40,subscription_cancelled,3522.53,2.0,access_activity_log,ORD994343,Arjun Krishnan,2026-07-28,"258 Main Rd, Kochi",ORD994343,Arjun Krishnan,2026-07-28,"258 Main Rd, Kochi",True,False,False,0.7142,1.0,0.667
disp_aef3be9dd63d40,subscription_cancelled,3522.53,2.0,term_and_conditions,ORD994343,Arjun Krishnan,2026-07-28,"565 Cross St, Pune",ORD994343,Arjun Krishnan,2026-07-28,"258 Main Rd, Kochi",False,False,False,0.7142,1.0,0.667
disp_aef3be9dd63d40,subscription_cancelled,3522.53,2.0,cancellation_proof,ORD994343,Arjun Krishnan,2026-07-28,"258 Main Rd, Kochi",ORD994343,Arjun Krishnan,2026-07-28,"258 Main Rd, Kochi",True,False,False,0.7142,1.0,0.667
disp_c473817afb5c4a,subscription_cancelled,9311.58,6.0,cancellation_proof,ORD672092,Rahul Gupta,2026-08-13,"597 Main Rd, Hyderabad",ORD672092,Rahul Gupta,2026-08-13,"597 Main Rd, Hyderabad",True,False,True,0.5732,0.333,1.0
disp_3e6a2356178944,subscription_cancelled,53106.01,32.0,term_and_conditions,ORD799330,Amit Rao,2026-08-10,"799 Main Rd, Hyderabad",ORD799330,Priya Gupta,2026-08-10,"799 Main Rd, Hyderabad",False,False,False,0.2059,0.667,0.0
disp_3e6a2356178944,subscription_cancelled,53106.01,32.0,cancellation_proof,ORD799330,Priya Gupta,2026-08-28,"799 Main Rd, Hyderabad",ORD799330,Priya Gupta,2026-08-10,"799 Main Rd, Hyderabad",False,False,False,0.2059,0.667,0.0
disp_4590d8be05c44f,subscription_cancelled,49086.9,36.0,access_activity_log,ORD501124,Rahul Krishnan,2026-08-14,"228 Main Rd, Bengaluru",ORD501124,Rahul Krishnan,2026-08-14,"228 Main Rd, Bengaluru",True,False,False,0.3961,0.667,0.5
disp_4590d8be05c44f,subscription_cancelled,49086.9,36.0,term_and_conditions,ORD501124,Karthik Gupta,2026-08-14,"228 Main Rd, Bengaluru",ORD501124,Rahul Krishnan,2026-08-14,"228 Main Rd, Bengaluru",False,False,False,0.3961,0.667,0.5
disp_1b345a6cfa3547,duplicate_processing,7362.83,66.0,billing_proof,ORD634150,Karthik Gupta,2026-07-28,"962 Main Rd, Chennai",ORD634150,Karthik Gupta,2026-07-28,"962 Main Rd, Chennai",True,False,True,0.8851,1.0,1.0
disp_1b345a6cfa3547,duplicate_processing,7362.83,66.0,access_activity_log,ORD634150,Karthik Gupta,2026-07-28,"962 Main Rd, Chennai",ORD634150,Karthik Gupta,2026-07-28,"962 Main Rd, Chennai",True,False,True,0.8851,1.0,1.0
disp_1b345a6cfa3547,duplicate_processing,7362.83,66.0,term_and_conditions,ORD634150,Karthik Gupta,2026-07-28,"962 Main Rd, Chennai",ORD634150,Karthik Gupta,2026-07-28,"962 Main Rd, Chennai",False,True,True,0.8851,1.0,1.0
disp_0d03d725d4ab41,unrecognized_transaction,55571.72,16.0,customer_communication,ORD367095,Rahul Rao,2026-08-11,"2 Main Rd, Hyderabad",ORD367095,Rahul Rao,2026-08-11,"2 Main Rd, Hyderabad",True,False,True,0.7932,1.0,1.0
